name,version,category,releaseDate,rootPackage
Facebook-Audience,3.19.1,Advertising,1413410400000,com.facebook.ads
Facebook-Audience,3.20.0,Advertising,1414623600000,com.facebook.ads
Facebook-Audience,3.21.0,Advertising,1417388400000,com.facebook.ads
Facebook-Audience,3.21.1,Advertising,1417734000000,com.facebook.ads
Facebook-Audience,3.22.0,Advertising,1420498800000,com.facebook.ads
Facebook-Audience,3.23.0,Advertising,1423090800000,com.facebook.ads
Facebook-Audience,3.23.1,Advertising,1426114800000,com.facebook.ads
Facebook-Audience,4.0.0,Advertising,1427238000000,com.facebook.ads
Facebook-Audience,4.0.1,Advertising,1427925600000,com.facebook.ads
Facebook-Audience,4.1.0,Advertising,1430344800000,com.facebook.ads
Facebook-Audience,4.1.1,Advertising,1430863200000,com.facebook.ads
Facebook-Audience,4.1.2,Advertising,1431554400000,com.facebook.ads
Facebook-Audience,4.10.0,Advertising,1455058800000,com.facebook.ads
Facebook-Audience,4.10.1,Advertising,1458687600000,com.facebook.ads
Facebook-Audience,4.11.0,Advertising,1460412000000,com.facebook.ads
Facebook-Audience,4.12.0,Advertising,1463695200000,com.facebook.ads
Facebook-Audience,4.12.1,Advertising,1464300000000,com.facebook.ads
Facebook-Audience,4.13.0,Advertising,1466546400000,com.facebook.ads
Facebook-Audience,4.14.0,Advertising,1468360800000,com.facebook.ads
Facebook-Audience,4.14.1,Advertising,1470261600000,com.facebook.ads
Facebook-Audience,4.15.0,Advertising,1471903200000,com.facebook.ads
Facebook-Audience,4.16.0,Advertising,1475013600000,com.facebook.ads
Facebook-Audience,4.16.1,Advertising,1475791200000,com.facebook.ads
Facebook-Audience,4.17.0,Advertising,1477432800000,com.facebook.ads
Facebook-Audience,4.18.0,Advertising,1480546800000,com.facebook.ads
Facebook-Audience,4.19.0,Advertising,1485385200000,com.facebook.ads
Facebook-Audience,4.2.0,Advertising,1432764000000,com.facebook.ads
Facebook-Audience,4.20.0,Advertising,1488409200000,com.facebook.ads
Facebook-Audience,4.21.0,Advertising,1491343200000,com.facebook.ads
Facebook-Audience,4.21.1,Advertising,1491429600000,com.facebook.ads
Facebook-Audience,4.22.0,Advertising,1492466400000,com.facebook.ads
Facebook-Audience,4.22.1,Advertising,1494453600000,com.facebook.ads
Facebook-Audience,4.23.0,Advertising,1495663200000,com.facebook.ads
Facebook-Audience,4.3.0,Advertising,1435183200000,com.facebook.ads
Facebook-Audience,4.4.0,Advertising,1436306400000,com.facebook.ads
Facebook-Audience,4.4.1,Advertising,1436738400000,com.facebook.ads
Facebook-Audience,4.5.0,Advertising,1439157600000,com.facebook.ads
Facebook-Audience,4.5.1,Advertising,1439416800000,com.facebook.ads
Facebook-Audience,4.6.0,Advertising,1443477600000,com.facebook.ads
Facebook-Audience,4.7.0,Advertising,1444255200000,com.facebook.ads
Facebook-Audience,4.8.0,Advertising,1447196400000,com.facebook.ads
Facebook-Audience,4.8.1,Advertising,1447282800000,com.facebook.ads
Facebook-Audience,4.8.2,Advertising,1448319600000,com.facebook.ads
Facebook-Audience,4.9.0,Advertising,1453244400000,com.facebook.ads
Flurry,2.2.5,Advertising,1329865200000,com.flurry.android
Flurry,3.3.2,Advertising,1386802800000,com.flurry
Flurry,3.3.4,Advertising,1392073200000,com.flurry
Flurry,3.4.0,Advertising,1393801200000,com.flurry
Flurry,4.0.0,Advertising,1400450400000,com.flurry
Flurry,5.6.0,Advertising,1437688800000,com.flurry
Flurry,6.0.0,Advertising,1440453600000,com.flurry
Flurry,6.1.0,Advertising,1443391200000,com.flurry
Flurry,6.2.0,Advertising,1447023600000,com.flurry
Flurry,6.3.0,Advertising,1458601200000,com.flurry
Flurry,6.4.0,Advertising,1466114400000,com.flurry
Flurry,6.4.2,Advertising,1469484000000,com.flurry
Flurry,6.5.0,Advertising,1471471200000,com.flurry
Fyber,7.1.0,Advertising,1422745200000,com.sponsorpay
Fyber,7.1.1,Advertising,1422745200000,com.sponsorpay
Fyber,7.2.0,Advertising,1427839200000,com.sponsorpay
Fyber,7.2.3,Advertising,1435701600000,com.sponsorpay
Fyber,7.2.4,Advertising,1435701600000,com.sponsorpay
Fyber,7.2.5,Advertising,1435701600000,com.sponsorpay
Fyber,7.2.6,Advertising,1438380000000,com.sponsorpay
Fyber,7.2.7,Advertising,1441058400000,com.sponsorpay
Fyber,8.0.0,Advertising,1441058400000,com.fyber
Fyber,8.0.1,Advertising,1446332400000,com.fyber
Fyber,8.1.0,Advertising,1451602800000,com.fyber
Fyber,8.1.1,Advertising,1451689200000,com.fyber
Fyber,8.1.2,Advertising,1454281200000,com.fyber
Fyber,8.1.3,Advertising,1454367600000,com.fyber
Fyber,8.1.4,Advertising,1454454000000,com.fyber
Fyber,8.1.5,Advertising,1456786800000,com.fyber
Fyber,8.1.6,Advertising,1456873200000,com.fyber
Fyber,8.3.0,Advertising,1459461600000,com.fyber
Fyber,8.3.1,Advertising,1462053600000,com.fyber
Fyber,8.3.2,Advertising,1467324000000,com.fyber
Fyber,8.4.1,Advertising,1467324000000,com.fyber
Google Admob,4.0.4,Advertising,0,com.google
Google Admob,4.1.0,Advertising,0,com.google.ads
Google Admob,4.1.1,Advertising,0,com.google.ads
Google Admob,4.3.1,Advertising,0,com.google.ads
Google Admob,6.0.0,Advertising,0,com.google.ads
Google Admob,6.0.1,Advertising,0,com.google.ads
Google Admob,6.1.0,Advertising,0,com.google.ads
Google Admob,6.2.1,Advertising,0,com.google.ads
Google Admob,6.3.0,Advertising,0,com.google.ads
Google Admob,6.4.1,Advertising,0,com.google.ads
Hunt mobile advertising,,Advertising,0,com.huntmads.admobadaptor
InMobi,4.0.4,Advertising,1384470000000,com.inmobi
InMobi,4.1.1,Advertising,1387753200000,com.inmobi
InMobi,4.4.0,Advertising,1401832800000,com.inmobi
InMobi,4.5.1,Advertising,1410991200000,com.inmobi
InMobi,4.5.5,Advertising,1432245600000,com.inmobi
InMobi,5.0.0,Advertising,1444168800000,com.inmobi
InMobi,5.2.3,Advertising,1457305200000,com.inmobi
InMobi,5.3.0,Advertising,1459980000000,com.inmobi
InMobi,5.3.1,Advertising,1463349600000,com.inmobi
LG U+AD,3.0,Advertising,0,kr.co.uplusad.dmpcontrol
Leadbolt,5.1,Advertising,1428530400000,com.apptracker.android
Leadbolt,5.2,Advertising,1435010400000,com.apptracker.android
Leadbolt,6.0,Advertising,1444860000000,com.apptracker.android
Leadbolt,7.0,Advertising,1462917600000,com.apptracker.android
MdotM,3.1.3,Advertising,0,com.mdotm.android
MdotM,3.4.0,Advertising,1430431200000,com.mdotm.android
MdotM,3.5.0,Advertising,1438380000000,com.mdotm.android
MdotM,3.5.1,Advertising,1437256800000,com.mdotm.android
MdotM,3.6.0,Advertising,1449615600000,com.mdotm.android
MdotM,3.6.1,Advertising,1447887600000,com.mdotm.android
Millennial Media,6.0.0,Advertising,1437516000000,com.millennialmedia
Millennial Media,6.1.0,Advertising,1442354400000,com.millennialmedia
Millennial Media,6.3.1,Advertising,0,com.moat.analytics.mobile.aol
MoPub,3.10.0,Advertising,1438552800000,com.mopub
MoPub,3.11.0,Advertising,1440021600000,com.mopub
MoPub,3.12.0,Advertising,1440972000000,com.mopub
MoPub,3.13.0,Advertising,1442786400000,com.mopub
MoPub,4.0.0,Advertising,1444082400000,com.mopub
MoPub,4.1.0,Advertising,1447282800000,com.mopub
MoPub,4.2.0,Advertising,1448838000000,com.mopub
MoPub,4.3.0,Advertising,1450134000000,com.mopub
MoPub,4.4.0,Advertising,1455145200000,com.mopub
MoPub,4.4.1,Advertising,1456182000000,com.mopub
MoPub,4.5.0,Advertising,1458774000000,com.mopub
MoPub,4.5.1,Advertising,1459375200000,com.mopub
MoPub,4.6.0,Advertising,1461189600000,com.mopub
MoPub,4.6.1,Advertising,1462399200000,com.mopub
MoPub,4.7.0,Advertising,1464818400000,com.mopub
MoPub,4.7.1,Advertising,1465509600000,com.mopub
MoPub,4.8.0,Advertising,1470002400000,com.mopub
Mobfox,6.0.8,Advertising,1423436400000,com.adsdk.sdk
Pollfish,4.0.0,Advertising,1418252400000,com.pollfish
Pollfish,4.0.1,Advertising,1420412400000,com.pollfish
Pollfish,4.0.2,Advertising,1421190000000,com.pollfish
Pollfish,4.0.3,Advertising,1425423600000,com.pollfish
Pollfish,4.1.0,Advertising,1435010400000,com.pollfish
Pollfish,4.2.0,Advertising,1457478000000,com.pollfish
Pollfish,4.2.1,Advertising,1465336800000,com.pollfish
Pollfish,4.3.0,Advertising,1474495200000,com.pollfish
Pollfish,4.3.1,Advertising,1475445600000,com.pollfish
Supersonic,5.14,Advertising,1425942000000,com.supersonicads.sdk
Supersonic,6.0.0,Advertising,1477605600000,com.supersonic
Supersonic,6.1.0,Advertising,1432504800000,com.supersonic
Supersonic,6.1.1,Advertising,1433714400000,com.supersonic
Supersonic,6.2.0,Advertising,1436133600000,com.supersonic
Supersonic,6.2.1,Advertising,1439762400000,com.supersonic
Supersonic,6.2.2,Advertising,1440972000000,com.supersonic
Supersonic,6.3.0,Advertising,1443477600000,com.supersonic
Supersonic,6.3.1,Advertising,1444600800000,com.supersonic
Supersonic,6.3.2,Advertising,1445814000000,com.supersonic
Supersonic,6.3.3,Advertising,1447196400000,com.supersonic
Supersonic,6.3.4,Advertising,1481065200000,com.supersonic
Supersonic,6.3.5,Advertising,1451862000000,com.supersonic
Supersonic,6.3.6,Advertising,1454281200000,com.supersonic
Supersonic,6.3.7,Advertising,1456614000000,com.supersonic
Supersonic,6.3.8,Advertising,1457910000000,com.supersonic
Supersonic,6.4.10,Advertising,1467669600000,com.supersonic
Supersonic,6.4.11,Advertising,1470002400000,com.supersonic
Supersonic,6.4.12,Advertising,1471212000000,com.supersonic
Supersonic,6.4.13,Advertising,1471730400000,com.supersonic
Supersonic,6.4.14,Advertising,1472421600000,com.supersonic
Supersonic,6.4.15,Advertising,1472594400000,com.supersonic
Supersonic,6.4.16,Advertising,1473631200000,com.supersonic
Supersonic,6.4.17,Advertising,1474927200000,com.supersonic
Supersonic,6.4.18,Advertising,1477868400000,com.supersonic
Supersonic,6.4.19,Advertising,1479078000000,com.supersonic
Supersonic,6.4.20,Advertising,1481497200000,com.supersonic
Supersonic,6.4.21,Advertising,1483311600000,com.supersonic
Supersonic,6.4.3,Advertising,1460325600000,com.supersonic
Supersonic,6.4.4,Advertising,1461535200000,com.supersonic
Supersonic,6.4.6,Advertising,1464040800000,com.supersonic
Supersonic,6.4.7,Advertising,1465164000000,com.supersonic
Supersonic,6.4.8,Advertising,1467669600000,com.supersonic
Syrup,3.11.0,Advertising,1439935200000,com.skplanet.tad
TapIt,1.7.9,Advertising,1377036000000,com.tapit
TapIt,1.8.0,Advertising,1383951600000,com.tapit
TapIt,2.0.2,Advertising,1403820000000,com.tapit
TapIt,2.0.3,Advertising,1406239200000,com.tapit
TapIt,2.0.4,Advertising,1407794400000,com.tapit
TapIt,2.1.0,Advertising,1419980400000,com.tapit
TapIt,2.1.1,Advertising,1423177200000,com.tapit
TapIt,2.1.4,Advertising,1430258400000,com.tapit
TapIt,2.1.5,Advertising,1432677600000,com.tapit
Tapjoy,11.0.1,Advertising,1425250800000,com.tapjoy
Tapjoy,11.0.3,Advertising,1427925600000,com.tapjoy
Tapjoy,11.1.0,Advertising,1433800800000,com.tapjoy
Tapjoy,11.2.0,Advertising,1439848800000,com.tapjoy
Tapjoy,11.2.2,Advertising,1444255200000,com.tapjoy
Tapjoy,11.3.0,Advertising,1449529200000,com.tapjoy
Tapjoy,11.4.1,Advertising,1454886000000,com.tapjoy
Tapjoy,11.5.0,Advertising,1457305200000,com.tapjoy
Tapjoy,11.5.1,Advertising,1458687600000,com.tapjoy
Tapjoy,11.6.0,Advertising,1461621600000,com.tapjoy
Tapjoy,11.7.0,Advertising,1468274400000,com.tapjoy
Tencent GDT,4.8.504,Advertising,0,com.qq.e
Tremor Video,3.10.0,Advertising,0,com.tremorvideo
Vdopia,1,Advertising,0,com.vdopia.ads.lw
Vdopia,2,Advertising,0,com.vdopia.ads.lw
Vdopia,3,Advertising,0,com.vdopia.ads.lw
Vungle,3.0.6,Advertising,0,com.vungle
Vungle,3.1.0,Advertising,0,com.vungle
Vungle,3.2.2,Advertising,0,com.vungle
Vungle,3.3.0,Advertising,0,com.vungle
Vungle,3.3.1,Advertising,1443132000000,com.vungle
Vungle,3.3.2,Advertising,1443391200000,com.vungle
Vungle,3.3.3,Advertising,1445378400000,com.vungle
Vungle,3.3.4,Advertising,0,com.vungle
Vungle,3.3.5,Advertising,0,com.vungle
Vungle,4.0.2,Advertising,0,com.vungle
Vungle,4.0.3,Advertising,0,com.vungle
domob,4.0.1,Advertising,1382652000000,cn.domob.android
domob,4.0.2,Advertising,1384210800000,cn.domob.android
domob,4.0.3,Advertising,1384383600000,cn.domob.android
domob,4.1.0,Advertising,1386457200000,cn.domob.android
domob,4.1.1,Advertising,1388444400000,cn.domob.android
domob,4.2.2,Advertising,1393887600000,cn.domob.android
domob,4.2.7,Advertising,1402005600000,cn.domob.android
domob,4.3.0,Advertising,1407880800000,cn.domob.android
domob,4.5.0,Advertising,1410732000000,cn.domob
domob,4.5.1,Advertising,1415055600000,cn.domob.android
domob,4.5.2,Advertising,1415314800000,cn.domob.android
drawbridge,3.1.0,Advertising,1406498400000,com.android.adsymp
heyZap,5.6.2,Advertising,1402610400000,com.heyzap
heyZap,6.2.2,Advertising,1402610400000,N/A
heyZap,6.4.1,Advertising,1402610400000,com.heyzap
heyZap,6.4.2,Advertising,1402610400000,com.heyzap
heyZap,6.4.3,Advertising,1402610400000,com.heyzap
heyZap,6.4.4,Advertising,1402610400000,com.heyzap
heyZap,6.4.6,Advertising,1402610400000,com.heyzap
heyZap,6.5.0,Advertising,1404252000000,com.heyzap
heyZap,6.5.1,Advertising,1404770400000,com.heyzap
heyZap,6.5.2,Advertising,1404943200000,com.heyzap
heyZap,6.5.3,Advertising,1404943200000,com.heyzap
heyZap,6.6.0,Advertising,1406066400000,com.heyzap
heyZap,6.6.3,Advertising,1406844000000,com.heyzap
heyZap,6.6.4,Advertising,1409263200000,com.heyzap
heyZap,6.6.5,Advertising,1409868000000,com.heyzap
heyZap,7.1.0,Advertising,1412028000000,com.heyzap
heyZap,7.1.1,Advertising,1412114400000,com.heyzap
heyZap,7.2.0,Advertising,1415228400000,com.heyzap
heyZap,7.2.2,Advertising,1416524400000,com.heyzap
heyZap,7.2.3,Advertising,1416956400000,com.heyzap
heyZap,7.2.4,Advertising,1417734000000,com.heyzap
heyZap,7.2.5,Advertising,1421190000000,com.heyzap
heyZap,7.2.6,Advertising,1422313200000,com.heyzap
heyZap,8.0.0,Advertising,1422486000000,com.heyzap
heyZap,8.0.10,Advertising,1426201200000,com.heyzap
heyZap,8.0.12,Advertising,1426546800000,com.heyzap
heyZap,8.0.13,Advertising,1427666400000,com.heyzap
heyZap,8.0.5,Advertising,1423090800000,com.heyzap
heyZap,8.0.7,Advertising,1423782000000,com.heyzap
heyZap,8.0.8,Advertising,1425337200000,com.heyzap
heyZap,8.1.0,Advertising,1428530400000,com.heyzap
heyZap,8.1.1,Advertising,1430776800000,com.heyzap
heyZap,8.1.2,Advertising,1430863200000,com.heyzap
heyZap,8.1.3,Advertising,1431036000000,com.heyzap
heyZap,8.1.4,Advertising,1431381600000,com.heyzap
heyZap,8.2.0,Advertising,1431640800000,com.heyzap
heyZap,8.2.1,Advertising,1431640800000,com.heyzap
heyZap,8.3.0,Advertising,1432245600000,com.heyzap
heyZap,8.3.1,Advertising,1433368800000,com.heyzap
heyZap,8.4.0,Advertising,1434060000000,com.heyzap
heyZap,8.4.1,Advertising,1434578400000,com.heyzap
heyZap,8.4.2,Advertising,1435269600000,com.heyzap
heyZap,9.0.0-beta,Advertising,1436565600000,com.heyzap
heyZap,9.0.1-beta,Advertising,1436824800000,com.heyzap
heyZap,9.0.3-beta,Advertising,1436997600000,com.heyzap
heyZap,9.0.4-beta,Advertising,1437429600000,com.heyzap
heyZap,9.0.5-beta,Advertising,1437602400000,com.heyzap
heyZap,9.0.6,Advertising,1437775200000,com.heyzap
heyZap,9.0.7-beta,Advertising,1439935200000,com.heyzap
heyZap,9.1.0-beta,Advertising,1440712800000,com.heyzap
heyZap,9.1.1-beta,Advertising,1441058400000,com.heyzap
heyZap,9.1.10,Advertising,1442959200000,com.heyzap
heyZap,9.1.11,Advertising,1443477600000,com.heyzap
heyZap,9.1.12,Advertising,1443564000000,com.heyzap
heyZap,9.1.13,Advertising,1441490400000,com.heyzap
heyZap,9.1.14,Advertising,1444168800000,com.heyzap
heyZap,9.1.16,Advertising,1444600800000,com.heyzap
heyZap,9.1.2-beta,Advertising,1441058400000,com.heyzap
heyZap,9.1.3-beta,Advertising,1441144800000,com.heyzap
heyZap,9.1.4-beta,Advertising,1441231200000,com.heyzap
heyZap,9.1.5-beta,Advertising,1441663200000,com.heyzap
heyZap,9.1.7-beta,Advertising,1441922400000,com.heyzap
heyZap,9.1.8-beta,Advertising,1442181600000,com.heyzap
heyZap,9.1.9,Advertising,1442354400000,com.heyzap
heyZap,9.2.1-beta,Advertising,1444255200000,com.heyzap
heyZap,9.2.2-beta,Advertising,1444341600000,com.heyzap
heyZap,9.2.3-beta,Advertising,1444946400000,com.heyzap
heyZap,9.2.5,Advertising,1446591600000,com.heyzap
heyZap,9.2.6,Advertising,1447110000000,com.heyzap
heyZap,9.2.7,Advertising,1447369200000,com.heyzap
heyZap,9.2.8,Advertising,1449270000000,com.heyzap
heyZap,9.3.0-beta,Advertising,1447801200000,com.heyzap
heyZap,9.3.10,Advertising,1455750000000,com.heyzap
heyZap,9.3.12,Advertising,1456268400000,com.heyzap
heyZap,9.3.3,Advertising,1449529200000,com.heyzap
heyZap,9.3.4,Advertising,1450306800000,com.heyzap
heyZap,9.3.5,Advertising,1451948400000,com.heyzap
heyZap,9.3.6,Advertising,1452466800000,com.heyzap
heyZap,9.3.7,Advertising,1452639600000,com.heyzap
heyZap,9.3.8,Advertising,1454540400000,com.heyzap
heyZap,9.3.9,Advertising,1454626800000,com.heyzap
heyZap,9.4.0-beta,Advertising,1455231600000,com.heyzap
heyZap,9.4.1-beta,Advertising,1455750000000,com.heyzap
heyZap,9.4.3-beta,Advertising,1456268400000,com.heyzap
heyZap,9.4.4,Advertising,1457046000000,com.heyzap
heyZap,9.4.5,Advertising,1459893600000,com.heyzap
heyZap,9.4.6,Advertising,1459980000000,com.heyzap
heyZap,9.4.7,Advertising,1460066400000,com.heyzap
heyZap,9.5.1-beta,Advertising,1459893600000,com.heyzap
heyZap,9.5.2-beta,Advertising,1459893600000,com.heyzap
heyZap,9.5.5-beta,Advertising,1460066400000,com.heyzap
heyZap,9.5.6,Advertising,1461189600000,com.heyzap
heyZap,9.5.7,Advertising,1463090400000,com.heyzap
heyZap,9.6.0-beta,Advertising,1465768800000,com.heyzap
heyZap,9.6.1-beta,Advertising,1467064800000,com.heyzap
heyZap,9.6.2-beta,Advertising,1469052000000,com.heyzap
ironSource,6.5.0,Advertising,1486594800000,com.ironsource
ironSource,6.5.1,Advertising,1488063600000,com.ironsource
ironSource,6.5.2,Advertising,1490223600000,com.ironsource
ironSource,6.5.2.1,Advertising,1490652000000,com.ironsource
ironSource,6.5.3,Advertising,1492639200000,com.ironsource
ironSource,6.6.0,Advertising,1494194400000,com.ironsource
ironSource,6.6.1,Advertising,1495317600000,com.ironsource
mAdserve,1.3,Advertising,1320793200000,com.madserve.sdk
smaato,5.0.2,Advertising,1453158000000,com.smaato.soma
vpon,4.2.7,Advertising,1413324000000,N/A
vpon,4.2.8,Advertising,1424818800000,N/A
vpon,4.3.0,Advertising,1432677600000,N/A
vpon,4.3.1,Advertising,1435528800000,N/A
vpon,4.3.2,Advertising,1445464800000,N/A
vpon,4.6.1,Advertising,1475532000000,N/A
vpon,4.6.3,Advertising,1482361200000,N/A
Amazon-AWS-Mobile-Analytics,2.1.10,Analytics,1425337200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.1.3,Analytics,1413756000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.1.4,Analytics,1414188000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.1.5,Analytics,1415228400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.1.7,Analytics,1421103600000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.1.8,Analytics,1421708400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.1.9,Analytics,1424818800000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.0,Analytics,1428530400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.1,Analytics,1429653600000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.10,Analytics,1452121200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.11,Analytics,1454022000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.12,Analytics,1455318000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.13,Analytics,1456441200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.14,Analytics,1459375200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.15,Analytics,1461016800000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.16,Analytics,1462917600000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.17,Analytics,1463781600000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.18,Analytics,1464904800000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.19,Analytics,1466719200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.2,Analytics,1434060000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.20,Analytics,1467064800000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.21,Analytics,1469138400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.22,Analytics,1469570400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.3,Analytics,1436392800000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.4,Analytics,1437516000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.5,Analytics,1438898400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.6,Analytics,1442527200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.7,Analytics,1444255200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.8,Analytics,1446764400000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.2.9,Analytics,1448319600000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.3.0,Analytics,1469743200000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.3.1,Analytics,1473372000000,com.amazonaws
Amazon-AWS-Mobile-Analytics,2.3.2,Analytics,1475791200000,com.amazonaws
